content,category,cluster,content_for_labeling,topic_label
selalu macet petugas dishub/satpol pp tidak ada pagi2 saat jam rawan macet. tolong ada petugas dibeberapa titik ini pagi2 jam 6-7 itu rawan macet. jangan terlalu siang untuk petugas datang sudah sepi pasti segera tindak lanjuti masalah,Arus Lalu Lintas,7,macet tugas dishub satpol pp pagi jam rawan macet tolong tugas beberapa titik pagi jam rawan macet siang tugas sepi tindak lanjut,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
"poho besar tersebut sangat berbahaya sekali apabila ada hujan dan angin menimbulkan percikan api dari kabel yang tergesek oleh pohon, harap ditindak lanjuti sebelum terjadi hal hal yang tidak di inginkan, sesungguhnya hal hal yang berkaitan dengan fasum harus ditindak lanjuti oleh yang berkompeten tanpa harus menunggu laporan dari masyarakat bila fungsi pengawasanya berjalan",Pohon,6,poho bahaya hujan angin timbul percik api kabel gesek pohon harap tindak lanjut sungguh kait fasum tindak lanjut kompeten tunggu lapor masyarakat fungsi pengawasanya jalan,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
apakah ada pihak yang bertanggung jawab untuk memastikan apakah alat ini masih bwrfungsi atau tidak? bukannya harus di cek secara berkala? follow up on this issue,Penanganan Kebakaran,8,tanggung alat bwrfungsi cek kala follow up on this issue,"['bangun', 'tindak', 'pbg', 'izin', 'lantai']"
"sudah sekitar 1 bulan, tidak ada jadwal pembersihan dari dinas pertamanan, biasanya 3 hari sekali dibersihkan. mohon tindak lanjutnya dan dijadwalkan. butuh segera ditindaklanjuti karena ini tempat berkumpul warga dan anak anak bermain",Taman ,3,jadwal bersih dinas taman bersih mohon tindak jadwal butuh ditindaklanjuti kumpul warga anak anak main,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
", mobil tanpa garasi perda dki no5/2014 ps140 jl rawamangun muka golf no 7 rt 11 rw 14 rawamangun pulogadung jakarta timur 13220 twitter facebook instagram",Gangguan dan Kebisingan  ,9,mobil garasi perda dki nomor ps jalan rawamangun muka golf nomor rawamangun pulogadung jakarta timur twitter facebook instagram,"['perda', 'nomor', 'ps', 'rawamangun', 'golf']"
"hujan lebat, genangan menyebabkan banjir dikarenakan saluran air di depan masjid al anwar supaya tidak mengulang dari awal, karena ini sudah sering di laporkan sebelum nya. tolong di gunakan referensi laporan dengan nomor : jk2311180334 ditunggu solusi secara menyeluruh untuk permasalahan ini","Saluran Air, Kali/Sungai",3,hujan lebat genang sebab banjir salur air masjid anwar ulang lapor tolong referensi lapor nomor tunggu solusi masalah,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"mohon ijin bantuan dinas terkait.pohon ini berbahaya, sudah tinggi sekali dan sering batang dan dahan yg lapuk menimpa rumah warga dan pejalan kaki.",Pohon,6,mohon ijin bantu dinas kait pohon bahaya batang dahan lapuk timpa rumah warga pejal kaki,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"jalanan hancur di karenakan pemasangan uditch, butuh perbaikan / pengaspalan, segera di atasi segera tindak lanjuti masalah",Jalan,1,jalan hancur karena pasang uditch butuh baik aspal atas tindak lanjut,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"mohon ditertibkan parkir liar depan pasar jaya ciracas, karena mengganggu arus lalu lintas setiap pagi di hari kerja jam 5 s.d 7 pagi. bila dilakukan penggebahan saja kurang efektif, mungkin bisa dilakukan tilang karena sudah ada rambu s dan p dilarang parkir. sehingga ada efek jera, dan jika tidak ada petugas parkir liar tetap terjadi dan mengganggu aktivitas warga yang melewatinya.",Arus Lalu Lintas,10,mohon tertib parkir liar pasar jaya ciracas ganggu arus lintas pagi kerja jam s d pagi gebah efektif tilang rambu s p larang parkir efek jera tugas parkir liar ganggu aktivitas warga lewat,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"mohon dinas terkait dan pemerintah agar meninggikan tanggul penahan bibir sungai, karena debit air sudah melewati tanggul yang warga buat sementara mohon ditinggikan sekitar 30-50cm terimakasih segera tindak lanjuti masalah","Saluran Air, Kali/Sungai",3,mohon dinas kait perintah tinggi tanggul tahan bibir sungai debit air lewat tanggul warga mohon tinggi terimakasih tindak lanjut,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"butuh segera ditindaklanjuti karena tanaman liar tersebut sangat cepat tumbuh ketika musim hujan, ditakutkan menjadi sarang hewan berbisa seperti ular, sangat bahaya untuk anak-anak dan penghuni lainnya. terima kasih.",Pohon,3,butuh ditindaklanjuti tanam liar cepat tumbuh musim hujan takut sarang hewan bisa ular bahaya anak anak huni terima kasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"pintu air di drainase macet sehingga setiap kali kali mampang banjir, air meluap ke jalanan perumahan. minta tolong diperbaiki pintu air tersebut. permohonan peninggian jembatan karena tiap kali hujan jembatan pasti tenggelam tidak pernah di tl dengan berbagai alasan. jembatan pernah diperbaiki di masa gubernur ahok dan jalan ditinggikan. surat ke plh pernah dikirim tahun 2022 tapi kelurahan nggak bergerak","Saluran Air, Kali/Sungai",3,pintu air drainase macet kali kali mampang banjir air luap jalan rumah tolong baik pintu air mohon tinggi jembatan kali hujan jembatan tenggelam tolong alas jembatan baik gubernur ahok jalan tinggi surat plh kirim lurah gerak,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"tolong buat pak pj heru,ini terotoar di kembalikan pungsingnya jangan buat komersil karrna lurah atau pun satpol pp terkesan tutup mata saya akan pantau kalau masih ada lurah tidak mampu berbuat apa apa ada apa ini dan juga bina marga kecamatan harus turun tangan juga.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",8,tolong pj heru terotoar kembali pungsingnya komersil karrna lurah satpol pp kes tutup mata pantau lurah buat bina marga camat turun tangan,"['bangun', 'tindak', 'pbg', 'izin', 'lantai']"
lampu lalu lintas warna kuning dan hijau mati.,Perlengkapan Lalu Lintas,11,lampu lintas warna kuning hijau mati,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
mohon dilakukan penertiban pedagang dan parkir motor liar karena mengakibatkan komplain dari kedubes nya menyatakan mengganggu akses keluar masuk kendaraan ke kedutaan.,Parkir Liar,10,mohon tertib dagang parkir motor liar akibat komplain dubes ganggu akses masuk kendara duta,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"pegangan tutup saluran sangat menonjol, berbahaya dapat menyebabkan tersandung",Tutup Saluran ,1,pegang tutup salur tonjol bahaya sebab sandung,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"kabel internet menjuntai dan berantakan, tolong dibantu dirapikan di ikat kabelnya supaya rapih kembali",Jaringan Listrik ,6,kabel internet juntai beranta tolong bantu rapi ikat kabel rapih,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"lampu jalan mati, berbahaya tolong diperbaiki terina kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu jalan mati bahaya tolong baik ina kasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"lampu jalan mati, berbahaya mohon diperbaiki terima kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu jalan mati bahaya mohon baik terima kasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
butuh segera ditindaklanjuti karena sudah lama mati lampu jalannya terimakasih,Jalan,11,butuh ditindaklanjuti mati lampu jalan terimakasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"sepanjang jalan bona vista, lampu jalan tidak menyala. ada sekitar 10 pcs di sisi rumah","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,jalan bona vista lampu jalan nyala pcs sisi rumah,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
lobang di jalan (sumur resapan) tolong diperbaiki terina kasih,Tutup Saluran ,1,lobang jalan sumur resap tolong baik ina kasih,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"mati membahayakan pengguna jalan, mohon segera diperbaiki","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,mati bahaya guna jalan mohon baik,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
mohon segera diperbaiki konblok trotoar yang rusak dan perlu perbaikan agar trotoar enak dipandang dan nyaman dilalui pejalan kaki,Trotoar,1,mohon baik konblok trotoar rusak baik trotoar enak pandang nyaman pejal kaki,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"lampu pju padam, mohon untuk diperbaiki, terimakasih",Jaringan Listrik ,11,lampu terang jalan umum padam mohon baik terimakasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"ada jalan berlubang yang membahayakan pengguna jalan. ukurannya besar, tolong segera ditindaklanjuti🙏",Jalan,1,jalan lubang bahaya guna jalan ukur tolong ditindaklanjuti,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"lampu pju mati 1 titik depan komnas anak, mohon untuk diperbaiki, terimakasih",Jaringan Listrik ,11,lampu terang jalan umum mati titik komnas anak mohon baik terimakasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"lampu lalu lintas mati, tolong perbaiki.",Perlengkapan Lalu Lintas,11,lampu lintas mati tolong baik,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"agar kira nya di terus kan ke dinas sda mohon di maksimal kam pembuatan turap nya, agar tanah yang di pinggiran kali supaya diangkat juga agar lebar kali maksimal mengingat musim sudah musim hujan, agar kedalaman kali juga kembali aman sehingga tidak banjir",Keluhan Galian/Sisa Proyek,1,dinas mohon maksimal kam buat turap tanah pinggir kali angkat lebar kali maksimal musim musim hujan dalam kali aman banjir,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
penutup saluran air yang ambrol bisa membahayakan pejalan kaki butuh segera ditindaklanjuti karena,"Saluran Air, Kali/Sungai",1,tutup salur air ambrol bahaya pejal kaki butuh ditindaklanjuti,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
banyak nya sampah yang diakibatkan banjir sehingga dapat menimbulkan penyakit,Sampah ,3,sampah akibat banjir timbul sakit,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
butuh segera ditindaklanjuti karena musim hujan ranting pohon dan daun bikin mampet saluran pembungan air,Pohon,3,butuh ditindaklanjuti musim hujan ranting pohon daun bikin mampet salur bung air,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"lampu sudah 2 hari padam,warga agak kesulitan bila lagi bongkar muat",Jaringan Listrik ,11,lampu padam warga sulit bongkar muat,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"genangan air selalu ada,mohon segera di tindaklanjuti, karena dapat membahayakan pengendara motor, dan rusaknya stuktur jalansegera tindak lanjuti masalah...",Jalan,1,genang air mohon tindaklanjuti bahaya kendara motor rusak stuktur jalansegera tindak lanjut,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"sepanjang perumahan ametis sampai jl kemandoran vii mati lampu penerangan jalan nya, tolong dibetulkan kepada dinas terkait. trims.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,rumah ametis jalan kemandoran vii mati lampu terang jalan tolong betul dinas kait terima kasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
tiang bambu renovasi rumah dipancang sampai ke jalan umum. menghambat penggunaan jalan apalagi kalau ada mobil parkir. ini sudah berlangsung berminggu-minggu.,Jalan,30,tiang bambu renovasi rumah pancang jalan hambat guna jalan mobil parkir minggu minggu,"['jalan', 'pasang', 'atur', 'liar', 'ijin']"
"segera tindak lanjuti masalah pak lurah semper timur pejabat yg tidak perlu di contoh oleh pejabat yg lainnya, dia tidak merasa takut dengan pk walikota jakarta utara bahkan gubenur dki jakarta merasa ada yg bekingij setingkat mentri bahkan peresiden, karena setelah warga melaporkan dia mengambil tindakan membersihkan atau merapihkan tempat tersebut dan setelah itu di tumpuk lagi barang bekas atau rongsokan di tempat tersebut","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",13,tindak lanjut lurah semper timur jabat contoh jabat takut pk walikota jakarta utara gubenur dki jakarta bekingij tingkat tri residen warga lapor ambil tindak bersih merapihkan tumpuk barang bekas rongsok,"['seman', 'lurah', 'jakarta', 'lapor', 'dki']"
sampah di got dan diatas got agar tuntas. sebenarnya banyak smapah di got gak sempat kefoto karna macet,Sampah ,14,sampah got atas got tuntas smapah got foto karna macet,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
pohon tumbang di halte busway jembatan baru. mohon instansi terkait untuk dapat segera ditindaklanjuti.,Pohon,6,pohon tumbang halte busway jembatan mohon instansi kait ditindaklanjuti,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"simpang ini pasang lampu pengatur lalu lintas, suka macet panjang di simpang ini",Arus Lalu Lintas,7,simpang pasang lampu atur lintas suka macet simpang,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
lampu penyebrangan rusak...gak pernah benar sdh lamaaaaa,Arus Lalu Lintas,11,lampu penyebrangan rusak,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
tolong diusir dan ditertibkan para pkl yg iq nya dibawah rata rata yg berdagang di bahu jalan raya. ini bisa membahayakan pengendara karena berada persis di bahu jalan.,PKL Liar,10,tolong usir tertib iq bawah dagang bahu jalan raya bahaya kendara persis bahu jalan,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
ini setiap pagi selalu macet banyak pertigaan apalagi banyak sekolahan tolong ada petugas dishub/satpol pp yang mengatur biar ga macet dan teratur ya.. segera tindak lanjuti masalah,Arus Lalu Lintas,7,pagi macet tiga sekolah tolong tugas dishub satpol pp atur biar macet atur tindak lanjut,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
sampah berserakan di spald mengganggu pemandangan dan aroma busuk serta dapat menyumbat aliran air.,Sampah ,3,sampah sera spald ganggu pandang aroma busuk sumbat alir air,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"sampah di saluran air, potensi menyumbat aliran air dan banjir. mohon dibantu pembersihan saluran air mulai dari hulu saluran air ini. terima kasih",Sampah ,3,sampah salur air potensi sumbat alir air banjir mohon bantu bersih salur air hulu salur air terima kasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
mohon di toping atau di pendek kn sudin pertamanan dan hutan kota ranting pohon banyak yg menutupi lampu pju taman malaka contri,Pohon,2,mohon toping pendek kn sudin taman hutan kota ranting pohon tutup lampu terang jalan umum taman malaka contri,"['selamat', 'mohon', 'terima', 'kasih', 'bantu']"
laporan sebelumnya jk2303060039 di tahun 2023 dengan pernyataan petugas akan dibuatkan cermin lalu lintas di lokasi tersebut di tahun berikutnya,Perlengkapan Lalu Lintas,0,lapor nyata tugas buat cermin lintas lokasi,"['lapor', 'ulang', 'tolong', 'langgar', 'selesai']"
"trafgic light padam, tolong dibenahi .trm ksh.......","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,trafgic light padam tolong benah trm ksh,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
pkl liar menggunakan fasum untuk berdagang mohon bantuan penertiban,PKL Liar,15,liar fasum dagang mohon bantu tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
"jl rawamangun muka golf no.3 rt 11/14 rawamangun, jaktim",Parkir Liar,9,jalan rawamangun muka golf nomor rawamangun jaktim,"['perda', 'nomor', 'ps', 'rawamangun', 'golf']"
minta tolong bapak ibu pemilik rumah. ini di dalam gang kawasan ramai tetangga . mohon kerja samanya . suara serutan kayu dan potong besi anda menggangu lingkungan sekitar. walaupun pagar di tutup suara tetap keluar kalau buka usaha mebel jangan di dalam gang ganggu masyarakat terimakasih,Gangguan dan Kebisingan  ,5,tolong milik rumah gang kawasan ramai tetangga mohon kerja sama suara serut kayu potong besi menggangu lingkung pagar tutup suara buka usaha mebel gang ganggu masyarakat terimakasih,"['bakar', 'warga', 'sampah', 'ganggu', 'tindak']"
"sampah serak daun,plastik ditumpuk tumpul ke fasum ke tiang fasum. segera dibersihkan",Sampah ,14,sampah serak daun plastik tumpuk tumpul fasum tiang fasum bersih,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
pkl liar berdagang di trotoar melanggar perda no 8 tahun 2007 mohon bantuan penertiban,PKL Liar,15,liar dagang trotoar langgar perda nomor mohon bantu tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
banyak parkir liar di badan jalan di jam 13.00 depan mall season city dan di bawah jpo mohon bantuan penertiban,Parkir Liar,15,parkir liar badan jalan jam mall season city jpo mohon bantu tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
pkl liar melanggar perda no 8 tahun 2007 mohon bantuan penertiban,PKL Liar,15,liar langgar perda nomor mohon bantu tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
jam 13.30 pkl liar menggunakan trotoar untuk berdagang mohon bantuan penertiban,PKL Liar,15,jam liar trotoar dagang mohon bantu tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
vak sampah pd kettup shingga pembuangnya asal ke fasum dan kebawa air segera di air dan didarat dpt dibersihkan,Sampah ,14,vak sampah kettup shingga buang fasum bawa air air darat bersih,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
segera tindak lanjuti masalah apakah kanan kiri tersebut jadi lahan parkiran mobil ??,Parkir Liar,8,tindak lanjut kanan kiri lahan parkir mobil,"['bangun', 'tindak', 'pbg', 'izin', 'lantai']"
"jalan berlubang cukup besar, tolong di perbaiki. terima kasih",Jalan,1,jalan lubang tolong baik terima kasih,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
pkl liar menggunakan trotoar untuk berdagang melanggar perda no 8 tahun 2007 mohon ditertibkan,PKL Liar,15,liar trotoar dagang langgar perda nomor mohon tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
"mohon bantuan penertiban pkl liar yang menggunakan fasum untuk berdagang, melanggar perda",PKL Liar,15,mohon bantu tertib liar fasum dagang langgar perda,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
"pedangang ini menggunakan trotoar untuk berdagang, bikin atap di trotoar mohon bantuan penertiban terhadap maling hak orang lain",PKL Liar,15,pedangang trotoar dagang bikin atap trotoar mohon bantu tertib maling hak orang,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
pohon rimbun menghalangi penerangan lampu pju tolong topping,Pohon,16,pohon rimbun halang terang lampu terang jalan umum tolong topping,"['pohon', 'terang', 'jalan', 'pangkas', 'bungkus']"
"teluk gong masda 2 rw9 rt5 dari kost davina sampai nurul hidayah. penjual telur, warung makan, kost-kost an ketua rw selalu parkir liar sepeda motor menutupi jalan dan di atas saluran air. mohon dikempeskan bannya dan atas saluran air diberi penghalang agar tidak dapat parkir karena sudah berulang kali diingatkan oleh petugas dan masih terulang kembali. terpal, spanduk, atap yang sudah dilarang tolong disita karena dapat menyebabkan kebakaran akibat petasan / kembang api anak kecil sekitar yang orangtuanya cuek tidak bertanggung jawab (penjual telur, pemilik warung makan, ketua rw).",Penanganan Kebakaran,10,teluk gong masda kost davina nurul hidayah jual telur warung makan kost kost an ketua parkir liar sepeda motor tutup jalan salur air mohon kempes ban salur air halang parkir ulang kali tugas ulang terpal spanduk atap larang tolong sita sebab bakar akibat petas kembang api anak orangtuanya cuek tanggung jual telur milik warung makan ketua,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"mohon ijin di tindaklanjuti, ada lubang ditanjakan jl. swadaya dari arah ganceng menuju cilangkap. lubang berbahaya karena posisinya di tanjakan yang sedikit menikung. terimakasih🙏",Jalan,3,mohon ijin tindaklanjuti lubang tanjak jalan swadaya arah ganceng cilangkap lubang bahaya posisi tanjak tikung terimakasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
segera tindak lanjuti masalah saluran phb sudah tidak terawat banyak nye pohon di saluran phb bahaya ketika hujan turun penyebab banjir,"Saluran Air, Kali/Sungai",3,tindak lanjut salur phb awat nye pohon salur phb bahaya hujan turun sebab banjir,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
lampu warning light lalu lintas mati tolong perbaiki,Perlengkapan Lalu Lintas,11,lampu warning light lintas mati tolong baik,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
lampu pju di tiang tersebut mati dimalam hari tolong cek dan perbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu terang jalan umum tiang mati malam tolong cek baik,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"banyak parkir liar di jam 13.30 mohon ditertibkan, pungli",Parkir Liar,15,parkir liar jam mohon tertib pungli,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
"komplek pertamina tugu blok c no 1 rt 01 rw 016, jakarta utara",Sampah ,11,komplek pertamina tugu blok c nomor jakarta utara,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
mohon ditertibkan parkir liar kendaraan di sepanjang jajan cempaka putih raya.,Parkir Liar,10,mohon tertib parkir liar kendara jajan cempaka putih raya,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
lampu pju di tiang tersebut mati jika malam hari tolong cek dan perbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu terang jalan umum tiang mati malam tolong cek baik,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
pohon mati rawan tumbang tolong pangkas kembali yah,Pohon,6,pohon mati rawan tumbang tolong pangkas yah,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
sampah dahan ranting palem kering nyangkut dikabek agar dibersihkan karena membahayakan,Sampah ,6,sampah dahan ranting palem kering nyangkut dikabek bersih bahaya,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
pohon rimbun menjuntai tolong panggilkan pjlp dinas taman untuk pangkas,Pohon,6,pohon rimbun juntai tolong panggil pjlp dinas taman pangkas,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"sampah gundukan ceceran tanah ada yg masuk ke selokan dan ada yg ke pohon berupa sampah tanah bercampur plastik,sia tanaman. sisa bakaran juga diatas sal air gak dibuang buang",Sampah ,14,sampah gundu cecer tanah masuk selokan pohon sampah tanah campur plastik sia tanam sisa bakar atas sal air buang buang,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
"sudah 2 mikrotrans jak120 lewat, tetap aja penuh dan penumpangnya banyak antre di muara angke tolong evaluasi lagi jadwal jak120nya, apalagi jam pulang kerja sangat banyak orang yang mau pulang",Transportasi Publik,17,mikrotrans jak penuh tumpang antre muara angke tolong evaluasi jadwal jak jam pulang kerja orang pulang,"['bus', 'stop', 'jak', 'rute', 'tumpang']"
mohon di bangun dengan segera kaca cembung karena berpotensi tinggi tabrakan. atas perhatiannya di ucapkan terima kasih 🙏🙏,Jalan,2,mohon bangun kaca cembung potensi tabrak perhati ucap terima kasih,"['selamat', 'mohon', 'terima', 'kasih', 'bantu']"
tolong di tebang pohon di taman kesenian karena sudah lebat rawan tumbang di musim penghujan gini,Pohon,6,tolong tebang pohon taman seni lebat rawan tumbang musim hujan gin,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
sudah dua minggu sampah dan rumput liar perusak sedimen tidak dibersihkan. tkp 1,Sampah ,14,minggu sampah rumput liar usak sedimen bersih tempat jadi perkara,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
sudah dua minggu sampah dan rumput liar perusak sedimen tidak dibersihkan. tkp 1 butuh segera ditindaklanjuti karena sudah lama,Sampah ,14,minggu sampah rumput liar usak sedimen bersih tempat jadi perkara butuh ditindaklanjuti,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
butuh segera ditindaklanjuti karena sudah setahun tanah bekas turap belum di angkut sda. mohon segera disposisi ke sda,Keluhan Galian/Sisa Proyek,1,butuh ditindaklanjuti tahun tanah bekas turap angkut mohon disposisi,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
parkir liar ojol di bahu sepanjang jalan melanggar ketertiban ganggu arus lalin tidak ada petugas berjaga,Parkir Liar,18,parkir liar ojol bahu jalan langgar tertib ganggu arus lalin tugas jaga,"['langgar', 'tertib', 'parkir', 'liar', 'mohon']"
"lampu penerangan jalan mati sejak 29 desember 2023, jalan menjadi gelap gulita",Jalan,11,lampu terang jalan mati desember jalan gelap gulita,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"pedagang menggunakan trotoar untuk berdagang, melanggar perda no 8 tahun 2007 mohon ditertibkan",PKL Liar,15,dagang trotoar dagang langgar perda nomor mohon tertib,"['bantu', 'tertib', 'liar', 'mohon', 'jam']"
kembali lagi bakar lagi sampah tidak jera juga needs urgent action because,Sampah ,19,bakar sampah jera needs urgent action because,"['because', 'needs', 'action', 'urgent', 'is']"
