content,category,cluster
"teluk gong masda 2 rw9 rt5 dari kost davina sampai nurul hidayah. penjual telur, warung makan, kost-kost an ketua rw selalu parkir liar sepeda motor menutupi jalan dan di atas saluran air. mohon dikempeskan bannya dan atas saluran air diberi penghalang agar tidak dapat parkir karena sudah berulang kali diingatkan oleh petugas dan masih terulang kembali. terpal, spanduk, atap yang sudah dilarang tolong disita karena dapat menyebabkan kebakaran akibat petasan / kembang api anak kecil sekitar yang orangtuanya cuek tidak bertanggung jawab (penjual telur, pemilik warung makan, ketua rw).",Penanganan Kebakaran,10
"mohon ijin di tindaklanjuti, ada lubang ditanjakan jl. swadaya dari arah ganceng menuju cilangkap. lubang berbahaya karena posisinya di tanjakan yang sedikit menikung. terimakasih🙏",Jalan,3
segera tindak lanjuti masalah saluran phb sudah tidak terawat banyak nye pohon di saluran phb bahaya ketika hujan turun penyebab banjir,"Saluran Air, Kali/Sungai",3
lampu warning light lalu lintas mati tolong perbaiki,Perlengkapan Lalu Lintas,11
lampu pju di tiang tersebut mati dimalam hari tolong cek dan perbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
"banyak parkir liar di jam 13.30 mohon ditertibkan, pungli",Parkir Liar,15
"komplek pertamina tugu blok c no 1 rt 01 rw 016, jakarta utara",Sampah ,11
mohon ditertibkan parkir liar kendaraan di sepanjang jajan cempaka putih raya.,Parkir Liar,10
lampu pju di tiang tersebut mati jika malam hari tolong cek dan perbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
pohon mati rawan tumbang tolong pangkas kembali yah,Pohon,6
sampah dahan ranting palem kering nyangkut dikabek agar dibersihkan karena membahayakan,Sampah ,6
pohon rimbun menjuntai tolong panggilkan pjlp dinas taman untuk pangkas,Pohon,6
"sampah gundukan ceceran tanah ada yg masuk ke selokan dan ada yg ke pohon berupa sampah tanah bercampur plastik,sia tanaman. sisa bakaran juga diatas sal air gak dibuang buang",Sampah ,14
"sudah 2 mikrotrans jak120 lewat, tetap aja penuh dan penumpangnya banyak antre di muara angke tolong evaluasi lagi jadwal jak120nya, apalagi jam pulang kerja sangat banyak orang yang mau pulang",Transportasi Publik,17
mohon di bangun dengan segera kaca cembung karena berpotensi tinggi tabrakan. atas perhatiannya di ucapkan terima kasih 🙏🙏,Jalan,2
tolong di tebang pohon di taman kesenian karena sudah lebat rawan tumbang di musim penghujan gini,Pohon,6
sudah dua minggu sampah dan rumput liar perusak sedimen tidak dibersihkan. tkp 1,Sampah ,14
sudah dua minggu sampah dan rumput liar perusak sedimen tidak dibersihkan. tkp 1 butuh segera ditindaklanjuti karena sudah lama,Sampah ,14
butuh segera ditindaklanjuti karena sudah setahun tanah bekas turap belum di angkut sda. mohon segera disposisi ke sda,Keluhan Galian/Sisa Proyek,1
parkir liar ojol di bahu sepanjang jalan melanggar ketertiban ganggu arus lalin tidak ada petugas berjaga,Parkir Liar,18
"lampu penerangan jalan mati sejak 29 desember 2023, jalan menjadi gelap gulita",Jalan,11
"pedagang menggunakan trotoar untuk berdagang, melanggar perda no 8 tahun 2007 mohon ditertibkan",PKL Liar,15
kembali lagi bakar lagi sampah tidak jera juga needs urgent action because,Sampah ,19
butuh segera ditindaklanjuti karena sepertinya tanaman ini untuk segera dikondisikan karena terganggu pengendara motor dan jalan kaki,Jalan,20
segera tindak lanjuti masalah pohon terlalu tinggi butuh segera ditindaklanjuti karena sudah masuk musim hujan dan angin kencang ditakuti tumbang menimpa rumah ataupun jalan utama,Pohon,6
mohon bantuan penertiban pkl liar pelanggar perda no 8 tahun 2007,PKL Liar,15
"pembokaran satu&quot;nya klo mau kawasan jadi gak kumuh, jorok dan kotor... tolong aparat pemerintah setempat terutama aparat satpol pp lakukan pembongkaran!!!",PKL Liar,21
"aarea terserbut gelap sehingga sering digunakan untuk nongkrong dan menghindari kejahatan , mohon agar di pasang penerangan mengarah ke jalan . agar jalan menjadi terang . meminimalisir kejahatan",Jalan,11
gila udah awal tahun 2024 masih gak ada pembersihan/pembongkaran utk pkl&quot; ini aparat satpol pp nya pada pura&quot; gak liat apa gimana ini,PKL Liar,21
tolong sda di waduk ini banyak encu jentik nyamuk di karenakan air ngendep tolong di kasih lubang bawah nya noted sepanjang waduk ini butuh segera ditindaklanjuti karena,"Saluran Air, Kali/Sungai",3
pohon turun2 mengganggu kendaraan melintas. harap dipangkas segera,Pohon,16
sampah dekat pertigaan. pd tumpah diduga sudah 3 harian gak diangkut yg terkait,Sampah ,14
"lampu jalanan mati sudah 4 hari, mohon untuk dapat diganti agar tidak terjadi hal yang tidak diinginkan dan mohon agar dapat diganti dengan lampu led yang terang",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),11
ac tidak menyala dan lampu mati tolong segera diperbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
minta tolong ditindak tegas pkl liar karena trotoan yg baru dibangun dikuasai pkl liar dan menganggu fungsi trotoan terima kasih,Trotoar,10
minta tolong ditindak tegas parkir ditrotoan karena trotoan yg baru dibangun dikuasai parkir motor dan menganggu fungsi trotoan terima kasih,Trotoar,10
pohon tumbang tolong biar rapih dan enak di liat terimakasih bantuan nya,Pohon,6
lampu jalan mati total sepanjang jati padang utara rt 13 rw 02 sudah ebih dari 4 hari. mohon tindaklanjuti karena berbahaya,Jalan,11
"sambungan tutup drainase rusak, membahayakan pengguna jalan needs urgent action because dangerous",Tutup Saluran ,19
"lampu jalan mati, mohon pju segerw cek lokasi karena rawan maling, kejahatan dan pencurian. segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti karena rawan.",Jalan,11
"lampu jalan disepanjang jalan ini mati, tolong segera diperbaiki karna membahayakan kami pengguna jalan",Gangguan dan Kebisingan  ,11
"lampu pju mati yang menyebabkan sepanjang jalan jembatan tinggi dari mulai jalan lontar sampai jembatan lampu mati total, juga jalan dibawahnya sepanjang jalan tike lampu pju nya mati total. gelap gulita rawan kejahatan dan kemaksiatan . mohon segera di tindak lanjuti. masalah ini terjadi saat segera tindak lanjuti masalah",Jalan,11
debel kedua tanah becek jadi kotor sepatu/sendal tolong sda terimakasih,"Saluran Air, Kali/Sungai",3
"sda tolong di keruk ,rumput rumput di bersihin terimakasih atas bantuannya","Saluran Air, Kali/Sungai",3
"pembakaran kembali terjadi 2 januari 2024, di belakang tembok shinano a18. tidak ada petugas sama sekali. kemarin api dipadamkan manual oleh warga shinano.",Penanganan Kebakaran,5
"ini gimna si kerjaan sda, yang olahraga ngga nyaman bejek tanah gitu jadi debel sepatu/sendal tolong di kontrol lagi terima kasih","Saluran Air, Kali/Sungai",3
sampah berantakan rumput tidak di urusin tolong di cek lagi kondisi waduk brigif,Sampah ,3
saluran2 full penuh sampah air tidak mengalir tidak di tl ppsu,Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),3
pohon tumbang tidak ter urus tolong di urus dong pak di cek lagi monitoring,Pohon,3
"pohon tumbang tidak ter urus, mungkin tidak pernah di cek kembali oleh sda kondisi nya waduk ini",Pohon,3
parah dishub gk ngaruh ttp aja parkir terus truk besar nya,Parkir Liar,22
mohon dilakukan perbaikan pam bocor sudah 7 hari mengakibatkan genangan air sehingga menggangu warga,PDAM/PAM,3
rumah kos yg memanfaatkan jalanan sbg lahan parkir utk pengghuninya. menggunakan fasilitas umum utk kepentingan pribadi mendapatkan keuntungan utk bisnisnya,Parkir Liar,23
"pelanggaran bangunan berdiri diatas tanah peruntukan fasos/fasum, mohon agar bisa ditindak lanjuti serius","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",18
"kendaraan parkir liar ditempat yang semestinya steril dan khusus kendaraan darurat. mengganggu akaes pelayanan kedaruratan seperti saat ini. tolong dicari pemilik kendaraan, tegur, dan segera pindahkan. jangan egois, tidak ada garasi jangan punya mobil!",Parkir Liar,10
"seberang sekolah budi utomo, masa sampah disapu di tali air kearah selokan. dikurnagin tuh gaji nya",Sampah ,14
"butuh segera ditindaklanjuti karena musim penghujan rawan tumbang,sudah banyak ditempat lain yg tumbang.bantu dilakukan pemangkasan",Pohon,6
"seberang sekolah budi utomo, sampah dikumpulin disapu dekat tali air kan aneh kwrjaam kaya gini. ppsu wilayah penugasan sini dikurnagin tuh gaji nya",Sampah ,14
ditemukan adanya reklame rokok berupa videotron di atas kasir alfamart,Kawasan Dilarang Merokok,24
"seberang sekolah budi utomo, sampah disapu dikumpulin kena angin terbang lagi dan gak segera dibtl",Sampah ,14
arus lalu lintas disini amburadul..diatur sesuka hati pak ogah..tolong dibantu pak petugas,Arus Lalu Lintas,7
ojol mangkal makan di depan pagar samping,Perizinan ,25
"b 1162 juu sudah waktunya di tilang atau minimal kempes pentil jika tidak maka.lappran berulamg. memacetkan lama , potensi orang sini perda transportadi gsk punya garasi juga ada org bilang gor3s gor3s.",Arus Lalu Lintas,26
sejak trotoar dibuat awalnya motoris bisa diatas utk cegah penyempitan ruang milik jalan skrg yg bisa cuma pkl² liar diatas trotoar.r milik jalan. kalau begitu kenai pajak pd para pkl liar yg sudah lama jd angin sedap karna bau nyaasuk ke lantor rw09. fokus aduan pajak pd pkl2 liar dimana sejak ditanya saat trotoar dibuat dan kemudian ditinggikan,Trotoar,26
dekat belokan. sbnarnya banyak sampah diselokan dll. terimakasih,Sampah ,14
"pohon sudah lebat mengenai kabel, tolong dinas terkait menindaklanjut terima kasih",Pohon,6
berjualan pk5 di bahu jalan diatas saluran air banyak parkir liar juga mengganggu kelancaran arus lalu lintas,Perdagangan/UMKM,18
dekat kantor rw. sbnarnya banyak sampah dll. terimakasih,Sampah ,14
"parkir liar di atas jalanan umum di taruhkan cone dengan dalih jalan ini milik dia? tolong ini sangat berbahaya rawan blind spot untuk pengguna jalan lain dapat menyebabkan kecelakaan, tolong di tindak tegas berupa penderekan, dan teguran keras karna setiap malam saya perhatikan selalu parkir di area ini",Parkir Liar,10
butuh segera ditindaklanjuti karena mengganggu kenyamanan dan keamanan.,Jaringan/Menara Telekomunikasi,20
dekat rptra. sbnarnya banyak sampah diselokan dll. terimakasih,Sampah ,14
sisa buangan tebangan dikumpulin dekat yg bagus atau dekat tanaman bagis. dekat polisi,Sampah ,14
"minta tlong di segerakan di tebang pohon ny sudah ke atap rumah, belakang sekolahan 274 . segera tindak lanjuti masalah",Pohon,6
"sampah: puing serak,kerikil, tanaman liar perusak,plastik dll segera dibersihkan. terims",Sampah ,14
"saya memohon kepada tim bksd tingkat kelurahan tingkat kecamatan tingkat kota agar mengakap kucing-kucing liar agar di bawa ke habitatnya karena sangat mengganggu kotorannya(tai)nya beraknya,bahkan di rumah ibadah (musshollah) aja kucing liar berak itukan najis.",Pencemaran Lingkungan ,5
"kacauuuu.. belom di tindak juga, ayo dong di bongkar. biar terlihat rapih dan tertata.",PKL Liar,22
tutup drainase..? ini maksudnya biar ada yg nyemplung dulu baru ditutup? atau bagaimana konsepnya?,Tutup Saluran ,14
ada pelanggaran lalu lintas berupa kendaraan yang melawan arus di malam hari butuh segera ditindaklanjuti karena dapat membahayakan pengendara lain,Keluhan Pelayanan ,20
"sampah di dua bak tanaman, baik diujung yg ada sisa banner dan di zoom dekat. mohon",Sampah ,14
tlg got di bersihkan sdh byk sampah dr arah naga swalayan sp lamp. mrh ciracas trs sp ke bakso sabar,"Saluran Air, Kali/Sungai",14
"ada pelanggaran, bazar diduga tanpa izin berjalan langgeng tanpa ada tindakan dari instansi terkait.",Gangguan dan Kebisingan  ,8
"vending machine di kawasan monas tidak berfungsi, kondisi sudah karatan. ada pengunjung yang masukin uang tapi minuman tidak keluar","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",17
segera tindak lanjuti masalah ini karena sampah sudah lama terbengkalai tidak ada yang mengangkut nya tolong segera di tl agar tidak terjadi penumpukan sampah liar lainnya terima kasih,Sampah ,3
needs urgent action because pencemaran lingkungan dgn bakar sampah,Penanganan Kebakaran,19
"sampah di dalam got dan diatas got, ada bukti bersih lah diangkat kanstin conblok ya supaya cegah musim hujan...m",Sampah ,14
"ranting pohon menghalangi lampu pju, butuh segera di tebang krn menghalangi lampu pju",Pohon,6
there is a violation ada kegiatan bakar sampah dpn mesjid al anshar yg mencemari lingkungan,Penanganan Kebakaran,19
pertigaan jalan pasar pondok labu sampai dengan pasar swalayan aneka buana sering terjadi tindak pelanggaran lalu lintas yaitu lawan arah. mohon tindak lanjutkan dan buat razia lalin,Jalan,7
"tanaman rambat melebihi batas jalan, akan menyempitkan jalan dan akses untuk pejalan kaki/anak sekolah.",Taman ,6
"papan reklame yang hampir roboh, tolong segera ditindak lanjuti karena sangat berbahaya. jangan sampai timbul korban jiwa baru ada tindakan dari pihak terkait.",Reklame/Spanduk ,6
mohon di toping atau di pendek kn sudin pertamanan dan hutan kota lokasi taman biar terang banyak ranting yg bersinggungan dengan kabel listrik sepanjang taman,Pohon,2
s selamat pagi melaporkan adanya sampah yang berserakan di bawah kolong tol mohon bantuan untuk kebersihannya sekian terima kasih,Sampah ,2
"nurut kementrian puor di google, tiap bangunan wajib pasang perijinan pbg kok ini yg difoto tiga kali dulu gagal yerus oleh cktrp kecam kecamatan. dugaan makan gaji buta total. dulu kefoto cuma kerancka sekarang udah mau jadi!!! dimedsos melanggar kemen pupr jln genteng ijo",Sampah ,26
"sampah swrak,puing,plastik,sisa banner, dll mohon tuntas padahal barusan ada perugas oranye lewat",Sampah ,14
lebih banyak yang lawan arus. sekalian jadi 2 arah aja?,Arus Lalu Lintas,10
pemotor lawan arus. membuat kemacetan dan rawam kecelakaan,Arus Lalu Lintas,27
"proyek rumah tinggal 2 lantai tanpa ijin membangu, sdh beberapa kali di laporkan utk regis administrasi(urus ijin) namun ijin ngak diurus bangunan bertambah besar, ada apa dgn kasatpel kecamatan kalideres, di duga menerima suap",Tata Ruang dan Bangunan ,8
"proyek rumah tinggal 2 lantai tanpa ijin membangun, dan sdh dilaporkan masih berjalan dgn lancar, ada apa dgn kasatpel citata kecamatan kaliderea,...!!!???",Tata Ruang dan Bangunan ,8
dari pukul 6 pagi sampai hampir pukul 10 pagi blum ada penanganan padaman listrik. butuh segera ditindaklanjuti,Jaringan Listrik ,11
"ini gimana pak, bukannya di benahin juga. lihat sampai numpuk ke tengah japan tuh. tolong segera tindak lanjuti masalah ini",Parkir Liar,3
warung preman maling yang bakar batok kelapa nonstop darihari kamis pagi sampai sekarang minggu siang. sudah berulangkali lapor di jaki tapi sejak 4 bulan terakhir semua laporan ditolak. tolong relokasi pak,Lokasi PKL Binaan ,5
"baru sehari ditertibkan dan ada juga pemasangan spanduk pihak kelurahan bahwa daerah tersebut itu lahan fansos bukan untuk berdagang ataupun diperjualbelikan lahan, tetapi masih saja berdiri itu warung, kedai makanan/minuman disepanjang jalanan tersebut. ada pelanggaran, segera tindak lanjuti masalah","Saluran Air, Kali/Sungai",8
"adanya penampungan anak dibawah umur yang di jadikan pekerja seks komersial . tolong rekan rekan media dan mabes polri , renakta , jatanras , dirkrimum , dirkrimsus untuk segera menangani penyelidikan ini . terimakasih",Lembaga/Organisasi Kemasyarakatan ,5
coretan liar tolong dibershikan.,Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),28
"laporan ditujukan kepada pt transportasi jakarta (transjakarta). apakah layanan bus rute s21 tujuan ciputat berhenti di bus stop stasiun mrt blok m 1? kalau tidak berhenti, tolong dihapus saja informasi rute s21 di bus stop ini karena menyesatkan. kalau berhenti, mohon tertibkan rute s21 karena bus s21 tidak pernah berhenti di bus stop ini. terima kasih.",Transportasi Publik,17
