cluster,content,topic_label,category
41,saluran ini sudah dangkal lumpurnya mohon dikuras,"['kuras', 'dangkal', 'salur', 'lumpur', 'air']","Saluran Air, Kali/Sungai"
41,tolong lumpurnya di kuras sudah lama tidak kuras dan menyebabkan tersendatnya aliran air,"['kuras', 'dangkal', 'salur', 'lumpur', 'air']","Saluran Air, Kali/Sungai"
41,segera tindak lanjuti masalah karena saluran phb dangkal banyak sedimen.terima kasih,"['kuras', 'dangkal', 'salur', 'lumpur', 'air']","Saluran Air, Kali/Sungai"
41,saluran air tidak lancar mengalir mohon lumpurnya dikuras sidah dangkal,"['kuras', 'dangkal', 'salur', 'lumpur', 'air']","Saluran Air, Kali/Sungai"
41,saluran air mampet karena lumpurnya sudah dangkal mohon dikuras saluran ini,"['kuras', 'dangkal', 'salur', 'lumpur', 'air']","Saluran Air, Kali/Sungai"
43,banner2 sumbangan komersil liar tanpa ijin dipasang di pohon dan tiang marka jalan di atas trotoar di pinggir jalan umum. banner2 seperti ini biasanya menjamur saat menjelang hari raya atau dengan alasan berbagai macam wakaf atau jika ada musibah (saat ini banjir) atau konflik negara lain yg bisa mereka kaitkan dengan agama. hasil dari sumbangan liar ini jg biasanya hanya kurang dari 10% yg benar2 disumbang dan biasanya sengaja untuk dipublikasikan. 90%+ biasanya digunakan untuk menumpuk kekayaan pribadi atau menambah aset perusahaan. biasanya mereka rela untuk mencetak jutaan banner liar seharga miliaran untuk disebar di seluruh titik kota dan ini semua tanpa ijin atau liar. ini adalah murni bisnis tanpa pajak yg dilakukan oleh orang2 yg tidak bertanggung jawab. tolong ditertibkan sesuai peraturan yg berlaku.,"['sumbang', 'banner', 'liar', 'ijin', 'miliar']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
43,mengupdate laporan jk2503170137 banner sumbangan komersil liar tanpa ijin terus2an dipasang di fasum/fasos di jalan umum meski sudah beberapa kali ditertibkan / ditindak lanjuti. pelanggar memasang kembali malamnya setelah petugas menindak lanjuti laporan. banner2 seperti ini biasanya menjamur saat menjelang hari raya atau dengan alasan berbagai macam wakaf atau jika ada musibah (saat ini banjir) atau konflik negara lain yg bisa mereka kaitkan dengan agama. hasil dari sumbangan liar ini jg biasanya hanya kurang dari 10% yg benar2 disumbang dan biasanya sengaja untuk dipublikasikan. 90%+ biasanya digunakan untuk menumpuk kekayaan pribadi atau menambah aset perusahaan. biasanya mereka rela untuk mencetak jutaan banner liar seharga miliaran untuk disebar di seluruh titik kota dan ini semua tanpa ijin atau liar. ini adalah murni bisnis tanpa pajak yg dilakukan oleh orang2 yg tidak bertanggung jawab. tolong ditertibkan sesuai peraturan yg berlaku.,"['sumbang', 'banner', 'liar', 'ijin', 'miliar']",Sampah 
43,banner2 sumbangan komersil liar tanpa ijin dipasang di sepanjang jalan di pihon2 dll di tenah2 taman separator jalan di tengah jalan umum. banner2 seperti ini biasanya menjamur saat menjelang hari raya atau dengan alasan berbagai macam wakaf atau jika ada musibah (saat ini banjir) atau konflik negara lain yg bisa mereka kaitkan dengan agama. hasil dari sumbangan liar ini jg biasanya hanya kurang dari 10% yg benar2 disumbang dan biasanya sengaja untuk dipublikasikan. 90%+ biasanya digunakan untuk menumpuk kekayaan pribadi atau menambah aset perusahaan. biasanya mereka rela untuk mencetak jutaan banner liar seharga miliaran untuk disebar di seluruh titik kota dan ini semua tanpa ijin atau liar. ini adalah murni bisnis tanpa pajak yg dilakukan oleh orang2 yg tidak bertanggung jawab. tolong ditertibkan sesuai peraturan yg berlaku.,"['sumbang', 'banner', 'liar', 'ijin', 'miliar']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
43,banner2 sumbangan komersil liar tanpa ijin terus2an dipasang di fasum/fasos di jalan umum meski sudah beberapa kali ditertibkan / ditindak lanjuti. banner2 seperti ini biasanya menjamur saat menjelang hari raya atau dengan alasan berbagai macam wakaf atau jika ada musibah (saat ini banjir) atau konflik negara lain yg bisa mereka kaitkan dengan agama. hasil dari sumbangan liar ini jg biasanya hanya kurang dari 10% yg benar2 disumbang dan biasanya sengaja untuk dipublikasikan. 90%+ biasanya digunakan untuk menumpuk kekayaan pribadi atau menambah aset perusahaan. biasanya mereka rela untuk mencetak jutaan banner liar seharga miliaran untuk disebar di seluruh titik kota dan ini semua tanpa ijin atau liar. ini adalah murni bisnis tanpa pajak yg dilakukan oleh orang2 yg tidak bertanggung jawab. tolong ditertibkan sesuai peraturan yg berlaku.,"['sumbang', 'banner', 'liar', 'ijin', 'miliar']","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)"
43,banner sumbangan komersil liar tanpa ijin terus2an dipasang di fasum/fasos di depan sekolah di jalan umum meski sudah beberapa kali ditertibkan / ditindak lanjuti. banner2 seperti ini biasanya menjamur saat menjelang hari raya atau dengan alasan berbagai macam wakaf atau jika ada musibah (saat ini banjir) atau konflik negara lain yg bisa mereka kaitkan dengan agama. hasil dari sumbangan liar ini jg biasanya hanya kurang dari 10% yg benar2 disumbang dan biasanya sengaja untuk dipublikasikan. 90%+ biasanya digunakan untuk menumpuk kekayaan pribadi atau menambah aset perusahaan. biasanya mereka rela untuk mencetak jutaan banner liar seharga miliaran untuk disebar di seluruh titik kota dan ini semua tanpa ijin atau liar. ini adalah murni bisnis tanpa pajak yg dilakukan oleh orang2 yg tidak bertanggung jawab. tolong ditertibkan sesuai peraturan yg berlaku.,"['sumbang', 'banner', 'liar', 'ijin', 'miliar']",Sampah 
46,toko tersebut jelas menjual obat2tan keras. tanpa ada nya izin edar. untuk dinkes tolong lebih serius dan serius lagi dalam perihal pemberantasan. toko obat keras berkedok kosmetik butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena,"['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']",Perizinan 
46,kepada bpk/ibu yg bertugas!!! tolong segera di tindak lanjuti.. rumah nomor 01&amp;25 di jadikan peternakan anjing ... sangat meresahkan &amp; mmbahayakan... tolong rt&amp;rw diajak cek langsung... terimakasih.... sebelum ada korban rabies dll.,"['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']",Gangguan dan Kebisingan  
46,"tolong tindak lanjut. perihal bangunan yg di duga keras melanggar aturan pemerintah, tanpa ada nya plang pbg. izin siup sos. krisis moral!!!!!!! butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena","['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']",Tata Ruang dan Bangunan 
46,ada kabel internet turun provider nya tidak ada tanggapan my repulik butuh segera ditindaklanjuti karena...butuh segera ditindaklanjuti karena...butuh segera ditindaklanjuti karena...butuh segera ditindaklanjuti karena...butuh segera ditindaklanjuti karena...,"['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']",Jaringan/Menara Telekomunikasi
46,untuk dinkes tolong di tindak lanjut dengan serius. perihal marak nya penjualan obat keras ilegas. apalagi tempat ituh persis di sebrang polsek kalideres. sangat luar biasa. butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena,"['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']",Lembaga/Organisasi Kemasyarakatan 
52,lampu pju padam 2 tiang segera tindak lanjuti masalah,"['terang', 'padam', 'cabang', 'jalan', 'tindak']",Jalan
52,pju padam 1 group segera tindak lanjuti masalah..,"['terang', 'padam', 'cabang', 'jalan', 'tindak']",Jalan
52,pju cabang 4 mati 1 titik segera tindak lanjuti masalah,"['terang', 'padam', 'cabang', 'jalan', 'tindak']",Jalan
52,lampu jalan padam 1 group segera tindak lanjuti masalah,"['terang', 'padam', 'cabang', 'jalan', 'tindak']",Jalan
52,pju cabang 4 ada yg padam 1 lampu segera tindak lanjuti masalah,"['terang', 'padam', 'cabang', 'jalan', 'tindak']",Jalan
